DatasetName	SSA_SMA	HEL_LEL	MCS_SCS	MG_IES	OMIM_IES	UNIPROT_IES	BioGRID_IES	Reactomepathway_IES	IntAct_IES
21675912	null	null	null	null	19.0	null	null	null	null
19515497	12.470435285657961	null	null	null	null	null	null	10.0	null
8630504	null	null	18.0	19.0	19.0	17.0	null	null	null
8630503	12.875900393766127	null	null	19.0	19.0	13.640579232427871	null	null	null
8630502	11.777288105098016	null	null	null	19.0	12.947432051867926	null	null	null
24183309	null	17.0	18.0	null	null	17.0	null	null	null
10930381	null	null	18.0	null	null	17.0	null	null	null
10978364	null	null	18.0	null	null	17.0	null	null	null
29126765	11.777288105098016	10.021470850853413	null	14.034868558448677	19.0	13.640579232427871	null	null	null
18670065	18.0	17.0	18.0	null	19.0	17.0	null	null	null
17851586	null	null	18.0	19.0	19.0	17.0	null	null	null
1999409	null	null	null	19.0	19.0	17.0	null	null	null
26089778	null	null	null	19.0	null	17.0	null	null	null
14574644	null	null	null	null	19.0	17.0	null	null	null
29858533	null	null	18.0	null	null	null	null	null	null
16033404	null	null	null	null	null	null	2.9101953689495983	null	null
10234514	null	null	null	null	null	17.0	null	null	null
12151359	11.084140924538072	null	null	null	null	null	6.451154692986912	10.0	null
19047562	null	null	18.0	19.0	19.0	17.0	null	null	null
10978354	null	null	18.0	null	null	17.0	null	null	null
11799477	18.0	17.0	null	null	19.0	17.0	null	null	null
11799476	18.0	null	null	19.0	19.0	null	null	null	null
19804848	null	null	null	null	19.0	17.0	null	null	null
12427738	null	null	18.0	null	null	17.0	null	null	null
9101297	null	null	18.0	null	null	17.0	null	null	null
9101291	null	null	null	null	null	17.0	null	null	null
9101292	null	null	null	null	null	17.0	null	null	null
16826520	11.084140924538072	null	null	null	19.0	12.947432051867926	null	null	null
1338904	null	null	18.0	null	null	17.0	null	null	null
1338906	null	17.0	18.0	null	null	17.0	null	null	null
1338909	null	17.0	18.0	null	null	17.0	null	null	null
23303844	null	null	18.0	null	null	null	null	null	null
29846532	null	null	18.0	null	null	17.0	null	null	null
21120445	null	null	null	19.0	19.0	17.0	null	null	null
16826530	18.0	null	null	19.0	null	17.0	null	null	null
21600326	null	null	18.0	19.0	null	null	null	null	null
16826533	null	null	18.0	null	19.0	17.0	null	null	null
20097765	null	null	11.98791025242275	null	null	17.0	null	null	null
16826531	11.777288105098016	null	null	null	19.0	12.947432051867926	null	null	null
