SSA_SMA	HEL_LEL	MCS_SCS	MG_IES	OMIM_IES	UNIPROT_IES	OMIM_CDS	UNIPROT_CDS	BioGRID_IES	Reactomepathway_IES	IntAct_IES
C0021139	C0334588	C3150933	C1864720	C2745997	C0026998	C0026998	C0026998	C0037286	C0020564	C0014859
C0026640	C1832940	C3150943	C4225287	C0270960	C1843156	C1879321	C1879321	C0524851	C0242379	C4540478
C1836439	C0003635	C0039685	C0008073	C0271271	C4015537	C0038160	C0038160	C0024141	C0024668	C0023485
C1858477	C1510586	C0272052	C0678222	C0265234	C4721509	C0524851	C0524851	C1855710	C0024667	C0206743
C0032580	C0339534	C1136382	C1853761	C1563706	C4721508	C3805278	C3805278	C0009171	C0020538	
C0030297	C0428908	C0236969	C0752105	C4228778	C3179349	C0009171	C0009171	C0004238	C0033860	
C1839413	C0431886	C4282179	C1527404	C0549567	C0003873	C0038362	C0038362	C0022548	C0751408	
C0004352	C0017926	C0015397	C0015397	C3714756	C0020072	C0033132	C0033132	C3658299	C0751407	
C3808988	C0085136	C4225193	C4225251	C0013364	C0010068	C0013386	C0013386	C1334271	C1865643	
C4283841	C2931246	C0013146	C1853736	C2931783	C4539772	C0038433	C0038433	C0085413	C0017661	
C0525045	C4551774	C1842398	C4225304	C0162809	C0431890	C0233726	C0233726	C0087031	C0026769	
C0008340	C3275495	C0009241	C3278155	C4310744	C0024121	C0376407	C0376407	C0021390	C0235032	
C0007138	C0023904	C1854630	C3278154	C1839728	C1854631	C3275438	C3275438	C0013170	C1383860	
C0020542	C2680446	C1864446	C1843156	C0010278	C1855710	C4310782	C4310782	C0024121	C0242380	
C0007137	C1535926	C1839454	C4015537	C1969052	C4551906	C2680446	C2680446	C0002395	C0019189	
C0494261	C0162532	C1867299	C4225229	C1276035	C1856309	C0034189	C0034189	C0022661	C0236969	
C1879321	C4551559	C0027765	C0206143	C1969053	C3658299	C1136382	C1136382	C1514428	C4704862	
C0026706	C4310677	C1836439	C1855675	C1838979	C3275495	C0020564	C0020564	C0021368	C0346647	
C3280214	C1859570	C1857618	C0206141	C4015160	C0085413	C0023895	C0023895	C0345967	C0028945	
C3809272	C1838951	C0011570	C0206142	C2931850	C0233726	C1514428	C1514428	C0006663	C0013146	
C1855119	C1852510	C1839413	C1865974	C0235000	C3714873	C1852510	C1852510	C3830362	C0263454	
C0431692	C1857252	C0010674	C1868690	C1865872	C3275438	C0006663	C0006663	C0279626	C0009241	
C0013366	C0006663	C3808988	C4551475	C0376634	C0033139	C3830362	C3830362	C1839264	C0027726	
C0021655	C1839264	C0006111	C0339534	C4015342	C0520572	C1510472	C1510472	C0038325	C0020540	
C0009404	C1850600	C0410179	C0431890	C0268242	C2680446	C0750901	C0750901	C2931011	C0520463	
C0009402	C1843140	C1868120	C0017926	C1863704	C3554127	C0005684	C0005684	C0023212	C0238281	
C0086237	C0678202	C0525045	C4748826	C0268243	C4310677	C0750900	C0750900	C0009375	C0010606	
C0021124	C4693941	C0008340	C1861063	C0268318	C1852510	C0038356	C0038356	C0025363	C0023890	
C0020517	C1857586	C3276432	C2931246	C0013261	C1857252	C2931011	C2931011	C0678202	C0027719	
C1857451	C3714933	C0494261	C1854631	C3463824	C0035372	C3853041	C3853041	C0265219	C1836439	
C0279628	C4310720	C1832175	C1855710	C4074771	C1853507	C3179349	C3179349	C0242379	C1858477	
C0085681	C0033860	C0026706	C1856309	C0494261	C1837342	C0029231	C0029231	C0269102	C0000786	
C1136249	C0162809	C3280214	C0243057	C0002876	C0557874	C0020544	C0020544	C0020564	C0030297	
C1846278	C0013069	C1868111	C4552100	C0752125	C1839264	C0678202	C0678202	C0024668	C0014556	
C0019061	C0020505	C0007097	C3275495	C0752124	C1399226	C0020538	C0020538	C0024667	C0014558	
C0013336	C0018199	C0086237	C0085413	C0752123	C1842036	C0242380	C0242380	C0020538	C1839413	
C1691779	C4277690	C4721887	C0233726	C0752122	C2931011	C0013421	C0013421	C0033860	C0010674	
C0339539	C4479636	C0005684	C0033139	C0752121	C3853041	C0269102	C0269102	C1865643	C0006111	
C4707243	C0023264	C1846278	C1851573	C1837008	C4310641	C0345904	C0345904	C0034189	C0023904	
C3280127	C3150933	C0019061	C2680446	C0752120	C3280062	C0004352	C0004352	C0026769	C0525045	
C0271934	C0011603	C1868672	C0162532	C0152423	C0678202	C0278211	C0278211	C0026764	C3276432	
C0279702	C3150943	C1866855	C1332140	C0079154	C4693941	C0013069	C0013069	C0025237	C0007138	
C0271933	C0152101	C4707243	C2700553	C3714756	C0265219	C0752347	C0752347	C0007102	C0007137	
C0023976	C0152115	C1864869	C4310677	C0078918	C0013421	C0026769	C0026769	C0013384	C0028754	
C0265210	C0205851	C3280127	C3554127	C0026010	C0041207	C0028797	C0028797	C1383860	C0022660	
C0086743	C0205852	C0279702	C1859570	C3150546	C0011860	C0042109	C0042109	C0242380	C0026846	
C0346647	C0021390	C0023976	C1838951	C4317124	C0013261	C0021368	C0021368	C0019189	C0026706	
C0265234	C0220701	C0265210	C1852510	C4479376	C0242379	C0154060	C0154060	C0236969	C3280214	
C0019158	C0403399	C1868310	C1857252	C1865926	C0013069	C2718067	C2718067	C4704862	C1855119	
C0007222	C0268238	C0265234	C0035372	C0949595	C1865643	C0026766	C0026766	C0346647	C0006413	
C0002395	C1864446	C0019158	C1837342	C0339527	C1864877	C0024667	C0024667	C1719672	C0266453	
C1838951	C1839454	C0015695	C0557874	C1866053	C1853251	C0036690	C0036690	C0028945	C0086237	
C0236018	C1867299	C0005695	C1839264	C2931891	C4277690	C0024668	C0024668	C0013146	C0279626	
C0002879	C0024232	C0011860	C1850600	C4721893	C0270984	C0005612	C0005612	C0015695	C0009324	
C0002878	C0020538	C0002395	C2931011	C0271623	C0026764	C0013080	C0013080	C0004352	C0279628	
C0206686	C1836439	C1838951	C3853041	C1261473	C1852555	C3806153	C3806153	C0263454	C0020517	
C0011303	C0011853	C0236018	C4310641	C1864912	C0376358	C0029226	C0029226	C0009241	C0029456	
C0011304	C1839413	C0002879	C0678202	C4225302	C1862511	C0235480	C0235480	C0027726	C0018273	
C0011644	C0010674	C0002878	C4693941	C3266898	C3150933	C0019189	C0019189	C0020540	C4721887	
C4225218	C0410179	C3888088	C0265219	C0004352	C3150943	C1719672	C1719672	C0520463	C0010054	
C0151744	C1868120	C0011644	C3280036	C1384666	C0039685	C4225193	C4225193	C0005586	C0029408	
C0007102	C0431399	C0796074	C0878544	C1861195	C0339535	C0015695	C0015695	C0238281	C4722327	
C0001973	C3665473	C4225218	C0041207	C1851920	C3806153	C1842398	C1842398	C0549473	C0029459	
C0002871	C3276432	C0009451	C3714933	C3280452	C0272052	C0006142	C0006142	C0010606	C0000822	
C1257964	C1832175	C4228778	C4310720	C2750787	C4748070	C0347869	C0347869	C0023890	C0014544	
C1257965	C0026706	C0393584	C1837371	C1839130	C1858991	C1510497	C1510497	C0023418	C3280127	
C1257963	C3280214	C0238198	C1865643	C0013421	C4282179	C0020540	C0020540	C0005587	C0002171	
C0028754	C2931826	C0002871	C1864877	C3853041	C0015397	C0008370	C0008370	C0027719	C0023976	
C0002889	C1860050	C3150986	C1853251	C0085996	C0004352	C0025202	C0025202	C1836439	C0026650	
C1176475	C0751706	C0002889	C0037773	C4225199	C1861385	C0038580	C0038580	C0264423	C0265210	
C0007621	C0268281	C3463992	C4277690	C1840529	C1864446	C0005695	C0005695	C0027697	C0024121	
C0268358	C0086237	C0740394	C0270984	C4225165	C1839454	C0038586	C0038586	C1858477	C3658301	
C0677776	C0751884	C4316812	C4479636	C0007959	C0022578	C0038587	C0038587	C0000786	C0521174	
C0003886	C4721887	C1850600	C0270914	C0085997	C0272048	C1864446	C1864446	C0030297	C3658302	
C0025500	C4721916	C0268358	C4748197	C3809209	C0752251	C0751870	C0751870	C0274861	C0085207	
C0007134	C0546837	C0677776	C0023264	C0796021	C0752252	C0238281	C0238281	C0014556	C0022665	
C3489396	C1868672	C0025500	C1862511	C0009952	C1867299	C0752251	C0752251	C0013366	C1838951	
C0023904	C1866855	C0268561	C3150933	C0750887	C1836439	C0752252	C0752252	C0014558	C0236018	
C4317109	C0014544	C0268562	C3150943	C0038356	C1858477	C0004782	C0004782	C0274862	C0005695	
C1848745	C4707243	C4317109	C0039685	C0017919	C1857618	C0023452	C0023452	C1839413	C0279702	
C0206762	C1864869	C1848745	C1850709	C0268362	C0032580	C0678222	C0678222	C0010674	C0206686	
C0270972	C0265210	C0345904	C0220701	C1834558	C0003886	C0023453	C0023453	C0006111	C0796074	
C0751494	C1868310	C0345905	C0272052	C3714756	C1839413	C4479416	C4479416	C0023904	C0151744	
C0751496	C2931230	C4048196	C4284414	C1837315	C0010674	C0345967	C0345967	C3276432	C0238198	
C0751495	C1836724	C4479517	C4225193	C2931850	C3808988	C0280783	C0280783	C0002152	C0042065	
C0019202	C0015695	C0270972	C1842398	C0025363	C0008340	C0019080	C0019080	C0007138	C1262760	
C1833921	C2749346	C0019202	C0234533	C2931850	C0265211	C0264423	C0264423	C0007137	C1961112	
C2608083	C0002152	C0007114	C0234535	C2931150	C3276432	C0280785	C0280785	C0028754	C0021400	
C0700635	C0002395	C0009439	C1861385	C3489529	C0002152	C0026764	C0026764	C0022660	C1704230	
C4540520	C0002895	C1861065	C0403399	C0026760	C0494261	C0032580	C0032580	C0026846	C1368275	
C0027643	C0236018	C2608083	C0005941	C0268542	C1832175	C0030297	C0030297	C0026706	C1850600	
C0338831	C1864746	C1257965	C0268238	C0948008	C0026706	C0013366	C0013366	C3280214	C0268358	
C0013404	C0011644	C1257964	C1854630	C0017919	C3280214	C0038279	C0038279	C1855119	C0677776	
C1276035	C4225218	C1257963	C1864446	C1857586	C3809272	C3808988	C3808988	C0006413	C1720887	
C0011757	C1721098	C0700635	C1839454	C0017919	C1855119	C0431692	C0431692	C0086237	C0268561	
