NetworkName	datasets	LLS
MCS_SCS	27475985	18.0
MCS_SCS	9569180	18.0
MCS_SCS	21602930	18.0
MCS_SCS	9569189	18.0
MCS_SCS	12091366	18.0
MCS_SCS	12091367	18.0
MCS_SCS	15102078	18.0
MCS_SCS	20456451	18.0
MCS_SCS	22831748	18.0
MCS_SCS	27616479	18.0
MCS_SCS	7749410	18.0
MCS_SCS	19912631	18.0
MCS_SCS	20034067	18.0
MCS_SCS	12668617	18.0
MCS_SCS	19696444	18.0
MCS_SCS	19287384	18.0
MCS_SCS	19287385	18.0
MCS_SCS	19287382	18.0
MCS_SCS	17395558	18.0
MCS_SCS	28111074	18.0
MCS_SCS	7749417	18.0
MCS_SCS	15079037	18.0
MCS_SCS	17876724	18.0
MCS_SCS	27472056	18.0
MCS_SCS	8018926	18.0
MCS_SCS	25594860	18.0
MCS_SCS	28499982	18.0
MCS_SCS	3108247	18.0
MCS_SCS	15236414	18.0
MCS_SCS	10330428	18.0
MCS_SCS	1361196	18.0
MCS_SCS	28089576	18.0
MCS_SCS	21784903	13.59734816485685
MCS_SCS	21407258	18.0
MCS_SCS	15947997	11.98791025242275
MCS_SCS	18033242	18.0
MCS_SCS	11257107	18.0
MCS_SCS	26231210	18.0
MCS_SCS	26642971	18.0
MCS_SCS	9654207	18.0
MCS_SCS	17467628	11.98791025242275
MCS_SCS	9654202	18.0
MCS_SCS	9654203	18.0
MCS_SCS	15236405	18.0
MCS_SCS	16442593	18.0
MCS_SCS	17611710	18.0
MCS_SCS	17935505	18.0
MCS_SCS	17935506	18.0
MCS_SCS	29092958	18.0
MCS_SCS	9272717	18.0
MCS_SCS	20418187	18.0
MCS_SCS	12187431	18.0
MCS_SCS	22014889	18.0
MCS_SCS	15070683	18.0
MCS_SCS	25182012	18.0
MCS_SCS	26472283	18.0
MCS_SCS	12668604	18.0
MCS_SCS	15079010	18.0
MCS_SCS	20815031	18.0
MCS_SCS	16200213	18.0
MCS_SCS	24255686	18.0
MCS_SCS	9329414	18.0
MCS_SCS	10413423	18.0
MCS_SCS	19287378	18.0
MCS_SCS	9187661	18.0
MCS_SCS	17694057	18.0
MCS_SCS	8630491	18.0
MCS_SCS	29125462	18.0
MCS_SCS	21035106	18.0
MCS_SCS	21421568	18.0
MCS_SCS	18697796	18.0
MCS_SCS	7331996	18.0
MCS_SCS	27234911	18.0
MCS_SCS	15477515	18.0
MCS_SCS	29884839	18.0
MCS_SCS	19781682	11.98791025242275
MCS_SCS	16247064	18.0
MCS_SCS	16247063	18.0
MCS_SCS	8078582	18.0
MCS_SCS	10739768	18.0
MCS_SCS	15632063	18.0
MCS_SCS	28003368	18.0
MCS_SCS	21072067	18.0
MCS_SCS	21398519	18.0
MCS_SCS	28041643	11.98791025242275
MCS_SCS	21169732	18.0
MCS_SCS	10739763	18.0
MCS_SCS	17130438	18.0
MCS_SCS	20602916	18.0
MCS_SCS	10942371	11.98791025242275
MCS_SCS	10521307	18.0
MCS_SCS	10521306	18.0
MCS_SCS	29859891	18.0
MCS_SCS	15995703	18.0
MCS_SCS	11823446	18.0
MCS_SCS	30329129	18.0
MCS_SCS	23278386	10.60161589130286
MCS_SCS	23254390	18.0
MCS_SCS	22948023	18.0
MCS_SCS	26278069	18.0
MCS_SCS	25231345	8.036666533841322
MCS_SCS	30582011	18.0
MCS_SCS	23326516	18.0
MCS_SCS	9199555	18.0
MCS_SCS	11318785	18.0
MCS_SCS	19263482	18.0
MCS_SCS	11823453	18.0
MCS_SCS	22419172	18.0
MCS_SCS	26340334	18.0
MCS_SCS	26581570	18.0
MCS_SCS	16105836	18.0
MCS_SCS	16083711	18.0
MCS_SCS	10737124	18.0
MCS_SCS	1746615	13.779669721650805
MCS_SCS	25951140	18.0
MCS_SCS	30139988	18.0
MCS_SCS	20530987	18.0
MCS_SCS	8630504	18.0
MCS_SCS	27615052	18.0
MCS_SCS	10930381	18.0
MCS_SCS	24183309	18.0
MCS_SCS	10978364	18.0
MCS_SCS	25294932	11.007080999411023
MCS_SCS	18670065	18.0
MCS_SCS	30090137	18.0
MCS_SCS	17851586	18.0
MCS_SCS	9199561	18.0
MCS_SCS	24098149	18.0
MCS_SCS	15249611	18.0
MCS_SCS	17404228	18.0
MCS_SCS	15249610	18.0
MCS_SCS	500385	18.0
MCS_SCS	29858533	18.0
MCS_SCS	9437321	18.0
MCS_SCS	16575835	18.0
MCS_SCS	16575836	18.0
MCS_SCS	16250670	18.0
MCS_SCS	24412860	18.0
MCS_SCS	10978354	18.0
MCS_SCS	19047562	18.0
MCS_SCS	9199558	18.0
MCS_SCS	11571214	18.0
MCS_SCS	9199559	18.0
MCS_SCS	12427738	18.0
MCS_SCS	19878917	18.0
MCS_SCS	25267339	18.0
MCS_SCS	11992256	18.0
MCS_SCS	20059486	18.0
MCS_SCS	9101297	18.0
MCS_SCS	15249625	18.0
MCS_SCS	21373256	18.0
MCS_SCS	11992260	18.0
MCS_SCS	1338904	18.0
MCS_SCS	11992264	18.0
MCS_SCS	1338906	18.0
MCS_SCS	8281159	18.0
MCS_SCS	1338909	18.0
MCS_SCS	23303844	18.0
MCS_SCS	29846532	18.0
MCS_SCS	18203753	18.0
MCS_SCS	17360963	11.98791025242275
MCS_SCS	15178757	18.0
MCS_SCS	22471742	11.98791025242275
MCS_SCS	21600326	18.0
MCS_SCS	16492752	18.0
MCS_SCS	25914166	18.0
MCS_SCS	16826533	18.0
MCS_SCS	20097765	11.98791025242275
MCS_SCS	16826527	18.0
MCS_SCS	27486859	18.0
MCS_SCS	11992252	18.0
MCS_SCS	23107109	18.0
MCS_SCS	25219674	18.0
MCS_SCS	8281141	18.0
MCS_SCS	8281140	18.0
MCS_SCS	23664929	10.88929796375464
MCS_SCS	16741293	18.0
MCS_SCS	23291369	18.0
MCS_SCS	16021470	18.0
MCS_SCS	18769927	18.0
MCS_SCS	24892424	18.0
MCS_SCS	24591078	18.0
MCS_SCS	25037205	18.0
MCS_SCS	12858176	18.0
MCS_SCS	27185474	18.0
MCS_SCS	10449439	18.0
MCS_SCS	27375040	18.0
MCS_SCS	8281137	18.0
MCS_SCS	22182342	11.98791025242275
MCS_SCS	8281136	18.0
MCS_SCS	11810107	18.0
MCS_SCS	24709307	18.0
MCS_SCS	24351571	18.0
MCS_SCS	16021469	18.0
MCS_SCS	12884427	18.0
MCS_SCS	30631341	18.0
MCS_SCS	23592720	18.0
MCS_SCS	25914188	18.0
MCS_SCS	10942390	18.0
